#,German,English,Srpski
1292,das Studium; die Studien,"the study, the studies, studying, scholastics","Студија, студије, студирање, школастике"
1293,das Produkt; -e,the product,производ
1294,das Eisen,the iron (a type of metal) (no plural),Гвожђе (врста метала) (без множине)
1295,die Bude; -n,"the outdoor booth, the stall, the stand, the hut","отворени штанд, штанд, штанд, колиба"
1296,das Halloween; -s,the Halloween,Ноћ вештица
1297,die Anlage; -n,the facility; the construction; the installation,објекат; изградња; инсталација
1298,verbessern,to improve ('v_'),да се побољша ('в_')
1299,die Kasse; -n,"the till, the cash register","Долу, упис у готовини"
1300,Australien,Australia,Аустралија
1301,"der Fußball; -""e","the football, (the) soccer (ball)","Фудбал, (Тхе) Фудбал (лопта)"
1302,übertragen,"to transfer, confer, assign, relay, broadcast, transmit (a virus)","Пренос, саветовање, додељивање, релеј, емитовање, пренос (вирус)"
1303,die Bekannte; -n,the female acquaintance,Женско познанство
1304,zittern,to tremble,трести
1305,der Politiker; -,the politician,политичар
1306,die Tüte; -n,the bag ('Tasche' or ...),"Торба ('Тасцхе ""или ...)"
1307,der Schein; -e,the bill (USA); bank note,Предлог закона (САД); новчаница
1308,der Liter; -,the liter,литар
1309,der Friseur; -e,the male hair stylist,Мушка коса стилиста
1310,die Diskussion; -en,the discussion,дискусија
1311,die Anzahl,"the quantity (no plural) (Menge, ... )","Количина (без множине) (Менге, ...)"
1312,das Trinkgeld; -er,"the tip, gratuity (for services in a restaurant, club, bar)","Савет, Група (за услуге у ресторану, клубу, бару)"
1313,die Fahne; -n,the flag,застава
1314,der Erzähler; -,the male narrator,мушки приповедач
1315,lebendig,"alive, lively, spirited","жив, живахни, духовит"
1316,die Münze; -n,the coin,кованица
1317,das Paket; -e,"the parcel, package, packet (not Packung)","Парцела, паковање, пакет (не пацкунг)"
1318,zurückbringen,to bring back,вратити
1319,"der Diebstahl; -""e",the theft,крађа
1320,Wien,Vienna,Беч
1321,einnehmen,"to occupy (space, room), capture (a town), take (in) (a meal, medicine) ingest
(food, medicine)","да заузимају (свемир, собу), хватање (град), узима (у) (оброк, лек) густ
(храна, медицина)"
1322,versichert,insured,осигуран
1323,häufig,"frequent(ly), common, often","учестала (ли), уобичајена, често"
1324,der Donner,the thunder (no plural),Тхундер (без множине)
1325,der Herbst; -e,"the fall, autumn","јесен, јесен"
1326,der Betrieb; -e,"the plant, the enterprise, firm, business ('B_')","Постројење, предузеће, фирма, пословање ('б_')"
1327,"der Gegensatz; -""e","the opposite (Gegenteil, ... )","супротно (гегентеил, ...)"
1328,grau,grey,сива
1329,andererseits,on the other hand ('a_'),С друге стране ('А_')
1330,unterrichten,to teach ('u_'),да подучава ('у_')
1331,die Wirtschaft; -en,the economy,Економија
1332,"der Anlass; -""e","the occasion (Gelegenheit, or ...)",током пригоде (Гелегенхеит или ...)
1333,rasieren,to shave,да се обријем
1334,"der Rang; -""e",the rank,ранг
1335,unbekannt,unknown,непознат
1336,der Zentimeter,the centimeter (no plural),Центиметар (без множине)
1337,begegnen,"to encounter sb/sth, face sth (a situation), meet sb (by chance) ('b_')","Да бисте наишли на СБ / СТ, лице Ст (Ситуација), упознајте сб (случајно) ('б_')"
1338,keineswegs,by no means,ни у ком случају
1339,überreden,to persuade,убедити
1340,aushalten,"to bear, withstand (hold on/out) endure","да поднесе, издржати (задржати / оут) издржати"
1341,"der Bach; -""e",the stream,Поток
1342,der Vati; -s,the dad,тата
1343,das Kissen; -,the pillow,јастук
1344,"die Werkstatt; -""en",the workshop,радионица
1345,ausdrücken,"to express sth, reveal sth, to crush/squash sth","изразити стх, откријте стх, да се сруши / скрати"
1346,besoffen,drunk,пијан
1347,die Konferenz; -en,"the conference, meeting","Конференција, састанак"
1348,ohnehin,"anyway, anyhow ('O_')","У сваком случају, било којико ('о_')"
1349,verlaufen,to proceed,да наставите
1350,"der Ausflug; -""e","the trip, excursion, getaway, outing, jaunt ('A_')","путовање, излет, бекство, излет, јаунт ('а_')"
1351,der Assistent; -en; -en,the assistant,помоћник
1352,meist,most,највише
1353,meist,most,највише
1354,das Bargeld,the cash (no plural),Новац (без множине)
1355,erobern,to conquer,освојити
1356,das Gemälde; -,the painting,слика
1357,"der Hahn; -""e",the rooster,петао
1358,der Sänger; -,the male singer,мушки певач
1359,der Verwandte; -n,the male relative,мушки рођак
1360,die Rente; -n,the pension ('R_'),Пансион ('Р_')
1361,"der Stall; -""e","the stable, stall","стабилан, стабилан"
1362,die Verwandte; -n,the female relative,женски рођак
1363,die Länge; -n,the length,Дужина
1364,das Missverständnis; -se,the misunderstanding,неспоразум
1365,die Haltung; -en,"the stance, attitude, posture ('Einstellung' or ...)","Став, став, држање ('Еинстеллунг' или ...)"
1366,die Medien,the media (plural only),Медији (само множини)
1367,die Frisur; -en,the hairstyle,фризура
1368,die Zeugin; -nen,the female witness,женски сведок
1369,die Eifersucht,the jealousy (no plural),љубомора (без множине)
1370,der Honig,the honey (no plural),мед (без множине)
1371,empfinden,"to feel, sense ('e_')","да се осећам, смисла ('е_')"
1372,der Irre; -n,"the lunatic, crazy person ('I_')","лудац, луда особа ('и_')"
1373,der Detektiv; -e,the detective,детектив
1374,harmlos,harmless,нешкодљив
1375,das Kleingeld; -er,the change (as in money) ('K_'),промена (као у новцу) ('к_')
1376,Polen,Poland,Пољска
1377,hilfreich,helpful ('hilfsbereit' or ...),корисно ('Хилфсбереит' или ...)
1378,empfehlen,to recommend,препоручити
1379,fremd,foreign ('f_'),Страно ('Ф_')
1380,selbe; derselbe; dasselbe; dieselbe,same (4 forms),Исти (4 обрасца)
1381,das Werkzeug; -e,the tool,алат
1382,zurückziehen,"to withdraw sth, retract sth, pull sth back, take sth back","да се повучете стх, повуците стх, повуците стх назад, узмите стх назад"
1383,der Tabak; -e,the tobacco,дуван
1384,die Gestalt; -en,"the shape, figure (personality, character in a novel) form","облик, фигура (личност, карактер у роману) облик"
1385,der Kredit; -e,the credit,кредит
1386,umgekehrt,"conversely, vice versa, inversely","обрнуто, обрнуто, обрнуто"
1387,wertvoll,valuable,вредан
1388,bestrafen,to punish (not 's...'),казнити (не 'с ...')
1389,Schweden,Sweden,Шведска
1390,"der Rollstuhl; -""e",the wheelchair,инвалидска колица
1391,das Metall; -e,the metal,метал
1392,"der Geschäftsmann; -""er","the businessman, (not Kaufmann)","Бизнисмен, (не Кауфманн)"
1393,unsicher,unsure,несигуран
1394,verwandt,related,повезан
1395,"der Apfel; -""",the apple,јабука
1396,"der Krach; -""e","the noise (no plural), racket, row","бука (без множине), рекет, ред"
1397,die Orange; -n,the orange,наранџасти
1398,die CD; -s,the compact disc,Компактан диск
1399,öffentlich,public,јавно
1400,die Feuerwehr; -en,the fire brigade,ватрогасна бригада
1401,verschieben,to postpone,одложити
1402,orange,orange,наранџаста
1403,überqueren,"to cross, go across (a road)","да пређе, пређите преко (пут)"
1404,das Gramm; -e,the gram,грам
1405,umarmen,to embrace,да прихвате
1406,reif,ripe,зрео
1407,die Schublade; -n,the drawer,фиока
1408,der Kosmos; die Kosmen,the cosmos,космос
1409,verdanken,"to owe (sth to sb else) (i.e. your good looks, intelligence, success)","да дугује (стх то сб елсе) (тј. Ваш добар изглед, интелигенција, успех)"
1410,die Kneipe; -n,"the bar, pub, tavern","Бар, паб, кафана"
1411,das Konzept; -e,the concept ('K_'),Концепт ('к_')
1412,"der Bezug; -""e","the reference, pillow/cushion cover","Референца, поклопац јастука / јастука"
1413,der Schwager,the brother-in-law,зет
1414,fit,fit,прикладан
1415,das Gemüse,the vegetables (no plural),поврће (без множине)
1416,insgesamt,"altogether, overall, collectively","укупно, укупно, колективно"
1417,die Gemeinschaft; -en,"the community, fellowship","заједница, заједништво"
1418,dreckig,dirty ('schmutzig' or ...),прљав ('сцхмутзиг' или ...)
1419,der Aufenthalt; -e,"the stopover, the stay, the residence","заустављање, боравак, пребивалиште"
1420,heilig,holy,Свети
1421,organisieren,to organise,организовати
1422,endgültig,"final (abschließend, ... )","Финале (Абсцхлиеßенд, ...)"
1423,erweisen,"to bestow, render (honor, praise, etc), approve, argue","да се даровати, рендерирају (части, похвале итд.), одобрите, расправљајте се"
1424,die Praxis; die Praxen,"the practice (medical, etc.)",пракса (медицинска итд.)
1425,braun,brown,смеђа
1426,das Silber,"the silver, (no plural)","Сребро, (без множине)"
1427,weltweit,worldwide,широм света
1428,"der Topf; -""e",the pot,лонац
1429,bemerken,to notice (b~),да примети (б ~)
1430,ablehnen,to refuse ('Verweigern' or ...'Abl_'),да одбије ('вервеигерн' или ... 'абл_')
1431,die Autorität; -en,"the authority (Behörde, ... )","Ауторитет (Бехорде, ...)"
1432,Israel,Israel,Израел
1433,exakt,exact (e~),тачно (е ~)
1434,die Qualität; -en,the quality,квалитет
1435,die Hinsicht; -en,"the respect, regard ('Respekt' or ...)","Поштовање, поглед (""Респект"" или ...)"
1436,"der Autounfall; -""e",the car accident,саобраћајна несрећа
1437,binden,to tie sth,да се веже шта
1438,vorlesen,to read aloud,да чита наглас
1439,gratis,"free, without charge (gr_)","бесплатно, без накнаде (ГР_)"
1440,der Einbrecher; -,the male burglar,Мушки провалник
1441,versorgen,"to provide, supply, furnish, cater (V...)","да обезбеди, снабдева, намјешти, цатер (в ...)"
1442,bedeckt,"covered, overcast","прекривено, облачно"
1443,verteilen,"to distribute, to spread ('verbreiten' or ...)","за дистрибуцију, ширење (""вербореитен"" или ...)"
1444,"der Fuchs; -""e",the fox,Лисица
1445,beurteilen,"to assess, judge, appraise","проценити, судити, проценити"
1446,parken,to park,паркирати
1447,der Teenager; -,the teenager,тинејџер
1448,die Konkurrenz; -en,"the competition (spelling Bee), competitive, rivalry (i.e. a competing business,
sports team, etc)","такмичење (правописне пчеле), конкурентно, ривалство (тј. Конкурентски посао,
Спортски тим итд.)"
1449,der Babysitter; -,the babysitter,бебиситер
1450,der Maler; -,the painter,сликар
1451,die Dose; -n,the can,лименка
1452,der Fortschritt; -e,the progress,напредак
1453,der Lastwagen; -,"the truck, the lorry","камион, камион"
1454,kräftig,strong ('stark' or ...),јак ('Старк' или ...)
1455,der Tango; -s,the tango,танго
1456,angehen,"to approach or tackle (a problem), address sth, concern sth 'A~')","да се приближавају или реши (проблем), адресант стх, забринутост стх 'а ~')"
1457,der Löffel; -,the spoon,кашика
1458,starren,to stare,да зури
1459,geeignet,"suitable, convenient, appropriate, properly ('G_')","Погодно, погодно, прикладно, правилно ('г_')"
1460,die Schicht; -en,"the layer, shift (work shift), stratum (of earth)","Слој, Схифт (радна смена), Стратум (Земље)"
1461,eventuell,possible ('e_'),могуће ('е_')
1462,die Burg; -en,the castle ('B_'),Дворац ('Б_')
1463,der Wohnwagen; -,"The RV, Trailer, caravan","РВ, приколица, каравана"
1464,der Buchhalter; -,the bookkeeper,књиговођа
1465,angesichts,in view of,с обзиром на
1466,gelten,"to be applicable to sth, to be in force (law), to be valid","да се примјењује на стх, да буде на снази (закон), да буде валидан"
1467,Februar,February,Фебруар
1468,"der Dampf; -""e",the steam,парна
1469,der Euro; -s,the euro,еуро
1470,lila,purple (not 'v...'),љубичаста (не 'в ...')
1471,die Garderobe; -n,the dressing room (not 'U...'),Свлачионица (не 'у ...')
1472,der Italiener; -,the male Italian person,Мушка италијанска особа
1473,"der Schoß; -""e",the lap (of one's legs),крило (нечијих ногу)
1474,die Schweiz,the Switzerland (no plural),Швајцарска (без множине)
1475,sich beschweren,to complain ('sich_'),да се жали ('сицх_')
1476,verbreiten,"to distribute, to spread ('verteilen' or ...)","за дистрибуцију, да се шири ('вертеилен' или ...)"
1477,aussuchen,"to choose, pick, pick out","да бирам, бирам, изабрати"
1478,gelb,yellow,жути
1479,plaudern,"to chat, talk, have a chat (not 'sich unterhalten')","да разговарате, разговарајте, разговарајте (не 'сицх унтерхалтен')"
1480,stundenlang,for hours,Сатима
1481,die Schere; -n,the scissors,Маказе
1482,einziehen,to move in,да се креће у
1483,beeinflussen,to influence,да утиче
1484,streichen,to paint ('s_'),да слика ('с_')
1485,aufstellen,to deploy,распоредити
1486,der Sprecher; -,the speaker,говорник
1487,doof,"dumb, silly, nerdy ('do_')","Глупи, Силли, Нерди ('до_')"
1488,hilflos,helpless,беспомоћан
1489,steif,stiff,укочен
1490,die Wende; -n,"the turn, turnaround, reversal, turning point, rebound","Окретање, преокрет, преокрет, прекретницу, скок"
1491,italienisch,Italian (adj.),Италијански (адј.)
1492,auflegen,"to hang up (a telephone receiver); to publish (sth.); to issue (stocks, finance)","да прекидам (телефонски пријемник); објавити (стх.); да изврши (залихе, финансије)"
1493,gratulieren,to congratulate,честитати
1494,hinfahren,to drive there,возити тамо
1495,die Auswahl; -en,"the choice, selection, variety","избор, избор, сорта"
1496,"der Mangel; -""",the lack,Недостатак
1497,die Branche; -n,the branch,грана
1498,mieten,to rent,за изнајмљивање
1499,die Beschreibung; -en,"the description, specification","Опис, спецификација"
1500,brüllen,to yell,викати
1501,schockiert,shocked,шокиран
1502,"die Hauptstadt; -""e",the capital city,главни град
1503,der Rekord; -e,the record ('R...'),Тхе Рецорд ('Р ...')
1504,der Verkäufer; -,the salesman,продавац
1505,eintreten,to enter ('e_'),да уђете ('е_')
1506,das Detail; -s,the detail,детаљ
1507,wandern,to hike,ићи у шетњу по природи
1508,übermorgen,the day after tomorrow,прекосутра
1509,somit,"consequently, thus, therefore, hence","према томе, дакле, дакле, дакле, дакле"
1510,ermorden,to murder,да убије
1511,die Torte; -n,"the cake, pie, tart","Торта, пита, пића"
1512,die Kreditkarte; -n,the credit card,кредитна картица
1513,neidisch,jealous ('eifersüchtig' or ...),љубоморан ('еиферсуцхтиг' или ...)
1514,die Analyse; -n,the analysis,анализа
1515,beachten,"to consider (sth.); to take into account, regard, heed (advice or warning),
(berücksichtigen, achten, or ... )","да размотри (стх.); узети у обзир, у погледу, пазе (савет или упозорење),
(Беруцксицхтиген, Ацхтен, или ...)"
1516,der Student; -en; -en,the student,Студент
1517,die Autobahn; -en,"the interstate, highway, motorway","Интерстате, аутопут, аутопут"
1518,entgehen,"to escape (..., entkommen, flüchten)","да побегне (..., ЕНТКОМЕН, ФЛУЦХТЕН)"
1519,die Masse; -n,"Mass, bulk, crowd","Маса, масу, гомила"
1520,ausführen,"to carry out, implement, do","да се изврши, примени, уради"
1521,ausschalten,to switch off,искључити
1522,beeindrucken,to impress,да импресионира
1523,vorschlagen,to suggest ('v_'),да предложим ('в_')
1524,die Strategie; -n,the strategy,стратегија
1525,hoffnungslos,hopeless,безнадежан
1526,die Kommission; -en,the commission,Комисија
1527,die Zeile; -n,the line of text,линија текста
1528,fotografieren,to photograph,фотографирати
1529,die Messe; -n,1. the mass (a type of musical composition) 2. the trade fair,1. Маса (врста музичког састава) 2. Сајам
1530,frühstücken,to have breakfast,да имају доручак
1531,erleichtert,relieved,олакшан
1532,gestattet,permitted (g~),дозвољено (г ~)
1533,braten,to roast,на печење
1534,"der Vorhang; -""e",the curtain,завеса
1535,der Braten; -,"the roast meat, the roast","печено месо, печено"
1536,der Eintritt; -e,"the entrance, occurrence, admission (to an event/show)","Улаз, појава, пријем (до догађаја / емисије)"
1537,aussprechen,"to pronounce, express (in words)","да се изговори, експресни (речима)"
1538,der Farmer; -,the farmer ('F_'),Фармер ('Ф_')
1539,abschließen,"to lock, complete, negotiate, conclude (a deal, a contract) ('A')","Закључавање, завршено, преговарајте, закључити (договор, уговор) ('А')"
1540,der Adler; -,the eagle,орао
1541,die Niederlage; -n,the defeat,пораз
1542,der Jazz,the jazz (no plural),Јазз (без множине)
1543,die Ausrede; -n,the excuse,изговор
1544,ernähren,"to feed, to nourish","да се храни, негујем"
1545,kühl,"cool, chilly, distant, cold","цоол, хладно, удаљено, хладно"
1546,verschieden,"various, different, varied, diverse","разне, различите, разнолике, разнолики"
1547,ertrinken,to drown,да се удави
1548,bewundern,to admire,да се дивимо
1549,die Fähre; -n,the ferry,трајектом
1550,"der Zoll; -""e",the customs (at an airport),Царина (на аеродрому)
1551,Venedig,Venice,Венеција
1552,das Stadion; die Stadien,the stadium,стадион
1553,spinnen,to be crazy (colloquial) (s~),бити луд (колоквијални) (с ~)
1554,das Schaf; -e,the sheep,овце
1555,die Alternative; -n,the alternative,алтернатива
1556,Griechenland,greece,Грчка
1557,leuchten,"to shine, glow, burn (give light), gleam (glänzen, erglänzen, or ...)","За сјај, сјај, гори (дај светлост), сјај (глензен, ергланзен или ...)"
1558,das Griechenland,the Greece (no plural),Грчка (без множине)
1559,der Löwe; -n,the lion,лав
1560,die Zeitschrift; -en,"the magazine, journal, periodical","Часопис, часопис, периодични"
1561,der Hamburger; -,the hamburger,Хамбургер
1562,Schottland,Scotland,Шкотска
1563,ober,upper,горњи
1564,"der Anschlag; -""e",the attack ('Angriff' or ...),напад ('ангрифф' или ...)
1565,feucht,humid ('f_'),ХУМИД ('Ф_')
1566,der Ober; -,the (head) waiter,Тхе (Хеад) конобар
1567,zeichnen,1. to draw. 2. to sign,1. нацртати. 2. да се потпише
1568,das Tuch; -e,"cloth, scarf, blanket, towel","крпа, шал, покривач, пешкир"
1569,abhängig,dependent,овисан
1570,segeln,to sail,пловити
1571,der Becher; -,"the beaker, the cup","чаша, шоља"
1572,arbeitslos,unemployed,незапослен
1573,beruflich,professionally,професионално
1574,verursachen,"to cause (auslösen, bewirken, or ...)","изазвати (ауслосен, бевиркен, или ...)"
1575,der Abschnitt; -e,"stage, segment , paragraph, article, section, passage","фаза, сегмент, одломак, чланак, одељак, пролаз"
1576,die Zahlung; -en,the payment,плаћање
1577,das Blei,the lead (an element) (no plural),олово (елемент) (без множине)
1578,der Lippenstift; -e,the lipstick,руж
1579,die Landschaft; -en,the landscape,пејзаж
1580,der Hausmeister; -,"the janitor, the caretaker","домар, старатељ"
1581,messen,to measure,за мерење
1582,der Haken; -,"the hook, peg, snag, hitch (a problem)","Кука, ПЕГ, СНАН, ХИТЦХ (проблем)"
1583,kreischen,to screech,да врисак
1584,der Bewohner; -,the inhabitant ('B_'),становник ('б_')
1585,das Hobby; -s,the hobby,хоби
1586,die Venus,the Venus (no plural),Венера (без множине)
1587,"der Busch; -""e",the bush,грм
1588,die Handtasche; -n,the handbag,торба
1589,der Tänzer; -,the dancer,плесач
1590,der Ingenieur; -e,the male engineer,мушки инжењер
1591,regelmäßig,"regular, regularly, constant, consistently","редовно, редовно, константно, доследно"
1592,der Händler; -,"the merchant, retailer, dealer","трговац, продавац, продавач"
1593,die Union; -en,the union,Синдикат
1594,gewaltig,"enormous, vast, tremendous (not 'r...', 'e...')","огроман, огромни, огромни (не 'р ...', 'е ...')"
1595,der Kamin; -e,"the chimney, fireplace, mantle (Schornstein, or ...)","димњак, камин, пламен (Сцхорнстеин, или ...)"
1596,"das Taschentuch; -""er",the handkerchief,марамица
1597,die Kapelle; -n,"the chapel, the band","Капела, бенд"
1598,die Note; -n,"the mark, the grade, the musical note","Ознака, оцена, музичка белешка"
1599,die Feder; -n,the feather,перо
1600,die Kerze; -n,the candle,свећа
1601,das Zeitalter; -,"the era, epoch, age (Epoche, Zeitraum, or ...)","Ера, епоха, старост (епохе, зеитраум или ...)"
1602,präsentieren,"to present, showcase sth ('p_')","Предсећи, показати Ст ('П_')"
1603,sinken,"to fall, drop, decrease ('s...')","да падне, падне, смањење ('с ...')"
1604,der Ausländer; -,the foreigner (not 'Fremder'),Странац (не 'Фремдер')
1605,die Wolke; -n,the cloud,облак
1606,bezaubernd,enchanting,очаран
1607,einschlafen,"to fall asleep, go to sleep, die out, trail off","да заспим, идите на спавање, умри напоље, стазе"
1608,Korea,Korea,Кореја
1609,die Armut,the poverty (no plural),Сиромаштво (без множине)
1610,flach,"flat, shallow, plane, level, flush","равна, плитка, равнина, ниво, исперите"
1611,vorbereiten,"to prepare, arrange, prep (for sth) (not 'z_')","Да се ​​припреми, распоредите, припреми (за стх) (не 'з_')"
1612,"der Seemann; -""er",the seaman,поморац
1613,bescheiden,modest,скроман
1614,produzieren,to produce ('p_'),да произведе ('п_')
1615,unabhängig,"independent, autonomous, standalone (U_)","Независна, аутономна, самостална (у_)"
1616,das Lebensmittel; -,"the food, the groceries","храна, намирнице"
1617,blond,blonde,плавуша
1618,der Klub; -s,"the club ('Club', ..., 'Verein')","Клуб ('Цлуб "", ..."" Вереин')"
1619,die Sängerin; -nen,the female singer,женска певачица
1620,"der Chor; -""e",the choir,хор
1621,aufräumen,"to clean up, tidy up, clear away (not 'wegräumen')","Да бисте очистили, удружите се, рашчисти се (не 'вегремен')"
1622,die Komödie; -n,the comedy,комедија
1623,gelegentlich,occasionally,повремено
1624,die Einrichtung; -en,"the establishment, institution, device","Успостављање, институција, уређај"
1625,der Balkon; -e,the balcony,балкон
1626,"der Abfall; -""e","waste, refuse, garbage, rubbish (Müll)","отпад, одбијање, смеће, смеће (МУЛЛ)"
1627,die Ausgabe; -n,"the expense, expenditure, edition (publishing), issuance","Трошкови, издаци, издање (објављивање), издавање"
1628,hupen,"to honk, beep, blow (a horn)","да се поклони, звучни сигнал, ударац (рог)"
1629,gemäß,according to; pursuant to ('g~') (+Dativ),према; У складу са ('г ~') (+ дат)
1630,entsprechend,"appropriate, respective, accordingly ('e_')","одговарајуће, одговарајуће, у складу с тим ('е_')"
1631,der Einwohner; -,the inhabitant ('E_'),становник ('е_')
1632,ängstlich,anxious,забринут
1633,elegant,elegant,елегантан
1634,herrschen,to rule (govern) *not regieren,да влада (управља) * не регире
1635,die Fahrkarte; -n,the ticket (for a train / bus),карта (за воз / аутобус)
1636,das Kinn; -e,the chin,брада
1637,teilnehmen,to take part,да учествују
1638,drohen,to threaten,да прети
1639,die Freizeit; -en,the free time,слободно време
1640,anschließen,"to connect, link, interface (not 'v...'.)","Да бисте се повезали, веза, интерфејс (не 'в ... "".)"
1641,dreißig,thirty,тридесет
1642,das Gewitter; -,the thunderstorm,грмљавина
1643,lauten,"to sound, to read (have a certain wording)","да звучи, читати (имати одређену формулацију)"
1644,wertlos,worthless,безвредан
1645,die Handschrift; -en,the handwriting,рукопис
1646,die Pflanze; -n,the plant,биљка
1647,der Nachtisch; -e,the dessert (not D...),десерт (није д ...)
1648,der Luxus,the luxury (no plural),луксуз (без множине)
1649,zögern,to hesitate,на оклевати
1650,fünfzig,fifty,педесет
1651,das Orchester; -,the orchestra,оркестар
1652,gekleidet,dressed,обучен
1653,"das Fach; -""er","the field of study, the subject","Поље студија, предмет"
1654,fließen,to flow,тећи
1655,das Dokument; -e,the document,документ
1656,der Treffpunkt; -e,the meeting place,место састанка
1657,seither,"since then (seitdem, ... )","Од тада (сеитдем, ...)"
1658,der Bräutigam; -e,the bridegroom,младожења
1659,das Picknick; -s,the picnic,пикник
1660,die Klimaanlage; -n,the air conditioning,клима уређај
1661,die Börse; -n,the stock market ('B-'),Берза ('Б-')
1662,schwitzen,to sweat,да се знојим
1663,servieren,"to serve (food, sports)","да служи (храна, спорт)"
1664,sorgfältig,with care,са пажњом
1665,das Kennzeichen; -,"the label, the distinguishing mark","налепница, разликовни знак"
1666,der Russe; -n; -n,the male Russian person,мушко руска особа
1667,der Fotograf; -en; -en,the photographer,фотографу
1668,"das Lamm; -""er",the lamb,јагње
1669,gebildet,educated,образован
1670,das Plastik,the plastic (no plural),пластика (без множине)
1671,die Umwelt; -en,"the environment, surroundings, surrounding area (Umfeld, Umgebung, or ...)","Околина, околина, околина (УНМФЕЛД, УМГЕБУНГУНГ или ...)"
1672,der Effekt; -e,"the effect, the impact","ефекат, утицај"
1673,der Wechsel; -,the change ('w_'),промена ('в_')
1674,die Schrift; -en,"the font, writing (handwriting, typeface, etc.), script","Фонт, писање (рукопис, типомати, итд.), скрипта"
1675,die Zinsen,the bank interest (plural only),камата банке (само множина)
1676,die Soße; -n,the sauce,СОС
1677,die Pension; -en,the pension ('P_'),Пансион ('П_')
1678,der Beamte; -n,the civil servant,државни службеник
1679,"der Kasten; -""","the case, the box","случај, кутија"
1680,das Geschlecht; -er,the gender,род
1681,versichern,"to assure, insure","осигурати, осигурати"
1682,der Passagier; -e,the passenger ('P_'),Путник ('П_')
1683,das Feuerwerk; -e,the fireworks,ватромет
1684,die Kurve; -n,the curve,кривина
1685,der Journalist; -en; -en,the journalist,новинар
1686,sentimental,sentimental,сентименталан
1687,das Bedürfnis; -se,"the need, requirement (not 'A_,' 'N_')","Потреба, захтев (не 'а_,' 'н_')"
1688,hierfür,(in exchange) for this,(у замену) за ово
1689,anstrengend,tiring ('a_'),ТРИНГ ('А_')
1690,kauen,to chew,да жваче
1691,die Kaiserin; -nen,the empress,царица
1692,drucken,to print,Штампати
1693,der Bekannte; -n,the male acquaintance,Мушко познанство
1694,nachmittags,in the afternoon/s (one word),Поподне (једна реч)
1695,die Apotheke; -n,the pharmacy,апотека
1696,die Geige; -n,the violin,виолина
1697,die Bildung; -en,the education,образовање
1698,München,Munich,У минхену
1699,der Produzent; -en; -en,the producer,произвођач
1700,golden,golden,Златан
1701,die Lehre; -n,the apprenticeship,науковање
1702,"der Kamm; -""e",the comb,чешаљ
1703,vergleichen,to compare,упоредити
1704,lahm,"lame (leg), dreary, boring","хром (нога), туробан, досадан"
1705,angemessen,"appropriate, suitable, proper, adequate ('A_')","прикладно, погодно, правилно, адекватно ('а_')"
1706,international,international,међународни
1707,der Hörer; -,"the listener, the (telephone) receiver","Слушалац, (телефонски) пријемник"
1708,die Verletzung; -en,the injury,повреда
1709,"der Verband; -""e","the bandage, association, union, syndicate","Завој, удружење, унија, синдикат"
1710,die Kommunikation; -en,the communication,комуникација
1711,die Chemie; -n,the chemistry,хемија
1712,männlich,"male, masculine, virile (adj.)","Мушко, мушко, вириле (адј.)"
1713,die Abkürzung; -en (Abk.),the abbreviation (abbr.),Скраћеница (Аббр.)
1714,die Bestimmung; -en,"the provision, purpose, determination, determining, term (not 'Bed_')","Обезбеђивање, сврха, одлучност, одређивање, израз (не 'бед_')"
1715,ausprobieren,to try out,испробати
1716,der Weltraum,"the outer space (no plural) (All, Weltall, or ...)","спољни простор (без множине) (све, велталл, или ...)"
1717,"der Supermarkt; -""e",the supermarket,супермаркет
1718,arrogant,arrogant,арогантан
1719,aktivieren,to activate,да активирате
1720,zumachen,"to close, to shut, to fasten (not 's...')","да се затвори, затвори, причврстите (не 'с ...')"
1721,regnen,to rain,пада киша
1722,die Pille; -n,the pill (Tablette or ...),Пилула (таблета или ...)
1723,der Nerv; -en,the nerve,нерв
1724,das Leder; -,the leather,кожа
1725,übersetzen,to translate,За превод
1726,die Zusammenarbeit,"the collaboration, cooperation (not K..., M...)","сарадња, сарадња (није к ..., м ...)"
1727,online,online,на мрежи
1728,"die Unterkunft; -""e","the accommodation, housing, lodging","Смештај, кућиште, смештај"
1729,die Vorschrift; -en,"the provision, regulation, rule","Одредба, Уредба, правило"
1730,die Reinigung; -en,the purification; the cleansing; the dry cleaning,пречишћавање; чишћење; хемијско чишћење
1731,scheitern,to fail,да пропадне
1732,der Vorname; -ns; -n,"the first name, given name","Име, дато име"
1733,der Mechaniker; -,the mechanic,механичар
1734,einschalten,"to engage (the services of sb), to plug in, activate, energize (anschalten, or ...)","да се укључите (услуге СБ), да се укључите, активирајте, напајајте (Ансцхалтен или ...)"
1735,vorgestern,the day before yesterday,прекјуче
1736,spannend,exciting (not 'a_'),узбудљиво (не 'а_')
1737,fortsetzen,"to resume; to continue (fortfahren, weitermachen, or ...)","да бисте наставили; наставити (фортфахрен, веитермацхен или ...)"
1738,"das Rathaus; -""er",the city hall,Градска кућа
1739,genügen,"to suffice, to be enough","довољан, бити довољан"
1740,die Provinz; -en,the province,покрајина
1741,die Badewanne; -n,the bathtub,када
1742,die Formel; -n,the formula,Формула
1743,das Klima; -ta,the climate,клима
1744,die Uhrzeit; -en,the time of day,доба дана
1745,die Literatur; -en,the literature,литература
1746,die Erziehung; -en,the upbringing,одгој
